Date,Region,Category,Supplier,Warehouse,Order Status,Units Sold,Inventory Level,Transportation Cost,Order Accuracy,Lead Time (Days),Backorder,Cost of Goods Sold (COGS),Average Inventory,Warehouse Capacity
14-01-2020,North,Accessories,Supplier A,Warehouse 1,Fulfilled,302.0,2124,1103.838324,True,9.0,False,37820.0524,2048.0,5037
15-11-2020,East,Furniture,Supplier D,Warehouse 2,Fulfilled,741.0,1972,13163.00766,True,11.0,False,54396.17369,1213.0,9216
16-04-2020,East,Furniture,Supplier C,Warehouse 2,Fulfilled,940.0,454,9872.294126,True,17.0,False,24217.45462,1160.5,7699
17-04-2020,South,Accessories,Supplier D,Warehouse 2,Canceled,589.0,1867,4547.589932,True,3.0,False,38919.08005,3364.5,9271
18-04-2020,North,Accessories,Supplier C,Warehouse 2,Fulfilled,964.0,4862,11994.04231,True,21.0,False,59204.50683,3063.0,5828
19-04-2020,,Electronics,Supplier A,Warehouse 1,Canceled,338.0,1264,6220.991375,False,15.0,False,,1104.5,8292
20-04-2020,West,Furniture,Supplier A,Warehouse 2,Pending,748.0,945,14023.27556,True,7.0,False,139260.8377,929.0,5073
21-04-2020,North,Accessories,Supplier C,Warehouse 1,Canceled,909.0,913,1556.256814,True,25.0,False,35640.52177,2204.0,9860
22-04-2020,East,Clothing,Supplier C,Warehouse 3,Fulfilled,781.0,3495,4933.463849,True,8.0,False,73883.09071,3481.0,8375
23-04-2020,East,Clothing,Supplier A,Warehouse 1,Fulfilled,488.0,3467,12041.4938,True,21.0,False,52012.68962,4067.5,8594
24-04-2020,West,Clothing,Supplier D,Warehouse 3,Fulfilled,125.0,4668,6126.847877,True,21.0,False,2726.657395,3947.5,7684
25-04-2020,East,Furniture,Supplier A,Warehouse 1,Fulfilled,899.0,3227,12221.18843,True,4.0,False,127779.9529,2414.5,9035
26-04-2020,North,Accessories,Supplier D,Warehouse 1,Fulfilled,324.0,1602,5705.511137,True,27.0,False,63107.38981,1005.5,8116
27-04-2020,West,Clothing,Supplier A,Warehouse 3,Fulfilled,551.0,409,8615.902821,True,9.0,False,57150.95856,598.0,6886
28-04-2020,West,Clothing,Supplier C,Warehouse 3,Fulfilled,489.0,787,11076.52401,True,8.0,False,,1039.0,9727
29-04-2020,West,Electronics,Supplier A,Warehouse 2,Pending,712.0,1291,1450.896553,True,16.0,True,24683.75549,1881.0,5119
30-04-2020,West,Clothing,Supplier D,Warehouse 2,Fulfilled,775.0,2471,2671.768409,True,10.0,False,23900.74084,3462.5,8953
01-05-2020,West,Clothing,Supplier D,Warehouse 2,Fulfilled,936.0,4454,8057.019011,True,26.0,True,108960.3785,2754.0,7941
02-05-2020,West,Electronics,Supplier A,Warehouse 2,Fulfilled,988.0,1054,8990.638756,True,7.0,False,130014.8053,652.5,8128
03-05-2020,South,Clothing,Supplier C,Warehouse 3,Canceled,612.0,251,6719.324913,True,6.0,False,40211.04778,1969.0,9397
04-05-2020,East,Accessories,Supplier A,Warehouse 3,Fulfilled,754.0,3687,6426.784561,True,5.0,False,54971.19278,3672.0,8356
05-05-2020,East,Electronics,Supplier D,Warehouse 2,Fulfilled,282.0,3657,6851.316047,True,21.0,False,46598.2109,3170.0,6195
06-05-2020,West,Accessories,Supplier C,Warehouse 3,Fulfilled,777.0,2683,3371.043939,True,23.0,False,76184.13983,3577.5,9094
07-05-2020,East,Furniture,Supplier D,Warehouse 3,Fulfilled,,4472,6748.64938,True,12.0,False,24996.34935,3671.0,6178
08-05-2020,East,Accessories,Supplier A,Warehouse 1,Pending,606.0,2870,13437.44978,False,19.0,False,28876.71182,3891.0,8399
